step,eta,height,width,size,aspect_ratio,diffusion_time,elapsed_time
0,10.0,0,1,1,0.0,6.166184425354004,6.166261196136475
1,10.0,1,1,2,1.0,0.38208699226379395,6.549068450927734
2,10.0,2,1,3,2.0,0.37589311599731445,6.9251320362091064
3,10.0,3,1,4,3.0,0.37923645973205566,7.3044915199279785
4,10.0,4,1,5,4.0,0.4186384677886963,7.723280906677246
5,10.0,5,1,6,5.0,0.46112060546875,8.184574127197266
6,10.0,6,1,7,6.0,0.5109057426452637,8.695618867874146
7,10.0,7,1,8,7.0,0.5253305435180664,9.22114372253418
8,10.0,8,1,9,8.0,0.5622777938842773,9.783490896224976
9,10.0,9,1,10,9.0,0.5956544876098633,10.37934136390686
10,10.0,10,1,11,10.0,0.5956707000732422,10.975148677825928
11,10.0,11,1,12,11.0,0.6185331344604492,11.594348192214966
12,10.0,12,1,13,12.0,0.6254618167877197,12.219946384429932
13,10.0,13,1,14,13.0,0.6428344249725342,12.862955570220947
14,10.0,14,1,15,14.0,0.6551206111907959,13.518312931060791
15,10.0,15,1,16,15.0,0.6716794967651367,14.190064668655396
16,10.0,16,1,17,16.0,0.6971523761749268,14.887395858764648
17,10.0,17,1,18,17.0,0.7159714698791504,15.603456974029541
18,10.0,18,1,19,18.0,0.7231061458587646,16.32673406600952
19,10.0,19,1,20,19.0,0.7381534576416016,17.065011739730835
20,10.0,20,1,21,20.0,0.76357102394104,17.82877826690674
21,10.0,21,1,22,21.0,0.7889506816864014,18.61834168434143
22,10.0,22,1,23,22.0,0.8002750873565674,19.41879367828369
23,10.0,23,1,24,23.0,0.8078839778900146,20.226818799972534
24,10.0,24,1,25,24.0,0.9274845123291016,21.15440845489502
25,10.0,25,1,26,25.0,0.8632137775421143,22.017696142196655
26,10.0,26,1,27,26.0,0.8824083805084229,22.900232315063477
27,10.0,27,1,28,27.0,0.8571791648864746,23.757531881332397
28,10.0,28,1,29,28.0,0.8717324733734131,24.629432916641235
29,10.0,29,1,30,29.0,0.9092423915863037,25.538861513137817
30,10.0,30,1,31,30.0,0.9249420166015625,26.463969945907593
31,10.0,31,1,32,31.0,0.9355850219726562,27.40024757385254
32,10.0,32,1,33,32.0,0.9448952674865723,28.345285177230835
33,10.0,33,1,34,33.0,0.9570839405059814,29.302474975585938
34,10.0,34,1,35,34.0,0.9821603298187256,30.284852743148804
35,10.0,35,1,36,35.0,1.020815372467041,31.305882930755615
36,10.0,36,1,37,36.0,1.0153298377990723,32.32140636444092
37,10.0,37,1,38,37.0,1.0879404544830322,33.40950655937195
38,10.0,38,1,39,38.0,1.085754632949829,34.49533534049988
39,10.0,38,2,40,19.0,0.5986106395721436,35.09414076805115
40,10.0,39,2,41,19.5,0.8568055629730225,35.95113658905029
41,10.0,40,2,42,20.0,0.9555485248565674,36.907273054122925
42,10.0,41,2,43,20.5,0.9706947803497314,37.87813758850098
43,10.0,42,2,44,21.0,0.9738609790802002,38.85215520858765
44,10.0,43,2,45,21.5,0.9756820201873779,39.82796096801758
45,10.0,44,2,46,22.0,0.9717574119567871,40.79987668991089
46,10.0,45,2,47,22.5,0.978123664855957,41.778165340423584
47,10.0,46,2,48,23.0,1.0002045631408691,42.77844166755676
48,10.0,47,2,49,23.5,0.9880385398864746,43.76667618751526
49,10.0,48,2,50,24.0,1.0054244995117188,44.772238969802856
50,10.0,49,2,51,24.5,1.007195234298706,45.7795889377594
51,10.0,50,2,52,25.0,1.0177159309387207,46.79782032966614
52,10.0,51,2,53,25.5,1.079111099243164,47.87708115577698
53,10.0,52,2,54,26.0,1.158759593963623,49.03594708442688
54,10.0,53,2,55,26.5,1.066551685333252,50.102577686309814
55,10.0,54,2,56,27.0,1.0379431247711182,51.14069890975952
56,10.0,55,2,57,27.5,1.0636496543884277,52.204519510269165
57,10.0,56,2,58,28.0,1.047044038772583,53.25163745880127
58,10.0,57,2,59,28.5,1.0395326614379883,54.291330099105835
59,10.0,58,2,60,29.0,1.0746240615844727,55.36613321304321
60,10.0,59,2,61,29.5,1.0490357875823975,56.415343284606934
61,10.0,60,2,62,30.0,1.0629796981811523,57.478930711746216
62,10.0,61,2,63,30.5,1.06272554397583,58.541832447052
63,10.0,62,2,64,31.0,1.0600316524505615,59.60210132598877
64,10.0,63,2,65,31.5,1.0681586265563965,60.67042565345764
65,10.0,64,2,66,32.0,1.0636036396026611,61.73422646522522
66,10.0,65,2,67,32.5,1.0742030143737793,62.80859088897705
67,10.0,66,2,68,33.0,1.128528356552124,63.937299728393555
68,10.0,67,2,69,33.5,1.0713036060333252,65.00867652893066
69,10.0,68,2,70,34.0,1.0899620056152344,66.09881806373596
70,10.0,69,2,71,34.5,1.0972890853881836,67.1961784362793
71,10.0,70,2,72,35.0,1.102236270904541,68.29891729354858
72,10.0,70,2,73,35.0,1.1578130722045898,69.4569182395935
73,10.0,71,2,74,35.5,1.0579476356506348,70.51502561569214
74,10.0,72,2,75,36.0,1.0752816200256348,71.59050226211548
75,10.0,73,2,76,36.5,1.1090714931488037,72.69977259635925
76,10.0,74,2,77,37.0,1.1060667037963867,73.80603265762329
77,10.0,75,2,78,37.5,1.1366424560546875,74.94280004501343
78,10.0,76,2,79,38.0,1.1143662929534912,76.05736136436462
79,10.0,77,2,80,38.5,1.1258292198181152,77.18338441848755
80,10.0,78,2,81,39.0,1.124962568283081,78.3085298538208
81,10.0,79,2,82,39.5,1.1385869979858398,79.4476866722107
82,10.0,80,2,83,40.0,1.1443116664886475,80.59212899208069
83,10.0,81,2,84,40.5,1.292909860610962,81.88522291183472
84,10.0,82,2,85,41.0,1.148146152496338,83.0334403514862
85,10.0,83,2,86,41.5,1.1440563201904297,84.17768788337708
86,10.0,84,2,87,42.0,1.2187108993530273,85.39658331871033
87,10.0,85,2,88,42.5,1.2588322162628174,86.65561842918396
88,10.0,86,2,89,43.0,1.2287542819976807,87.88450002670288
89,10.0,87,2,90,43.5,1.186546802520752,89.07125568389893
90,10.0,88,2,91,44.0,1.1881632804870605,90.2596116065979
91,10.0,89,2,92,44.5,1.21303391456604,91.4731707572937
92,10.0,90,2,93,45.0,1.2336621284484863,92.70702743530273
93,10.0,91,2,94,45.5,1.2485909461975098,93.95577049255371
94,10.0,92,2,95,46.0,1.2586381435394287,95.21448159217834
95,10.0,92,2,96,46.0,1.0253708362579346,96.24001669883728
96,10.0,93,2,97,46.5,1.2273461818695068,97.46754264831543
97,10.0,94,2,98,47.0,1.2900805473327637,98.75781321525574
98,10.0,95,2,99,47.5,1.2998883724212646,100.05790996551514
99,10.0,96,2,100,48.0,1.3426573276519775,101.40075945854187
